simpson_1	simpson_1	simpson_2	simpson_2
36.9797980162	10.192580621	39.2723375859	7.39976821418
46.2729422339	58.3243666633	46.6969098075	56.0438056164
26.7819921561	9.57528865767	29.1646187186	16.7840088461
52.473844867	61.1470483244	47.9127737067	54.5698023947
50.0637803421	52.3931709543	45.4824544815	53.3366442242
71.0066775336	90.987444483	66.9676215516	86.2386481302
46.7681988706	58.0920989194	43.8869704996	57.1986090508
46.7603725394	52.9512114954	43.1694293102	54.1161277453
73.050688586	94.0099951388	64.1009321306	88.8947407213
55.4634109881	71.9748830508	59.6408587008	73.6158709307
54.8878396148	75.8558634406	53.6970623489	79.3123095571
46.7175056637	45.3708200727	47.9398878807	50.0060410973
58.3415929169	87.3669552245	63.8407706096	89.702790829
30.9406203488	3.68885464012	36.4220612141	7.68834687415
43.8773877152	16.5994443217	36.6201372163	10.387724563
41.0650238931	41.8974884321	34.4744559265	32.4207510166
47.3107900914	55.5072811034	49.0643633082	52.4747542989
39.9409186214	19.1434218125	34.1992764122	12.5228678511
41.89231521	23.7448047171	42.1192249761	24.9622382901
39.445846226	31.9007765222	38.7057897369	28.2735231633
55.7874243553	63.782837942	58.0006672129	74.8950434406
32.1116334639	23.9826531817	28.2206940517	18.3509584725
71.1990034259	97.4032423768	64.4982566115	93.1870322515
34.1148246116	12.7431090357	34.6273673627	12.1240943805
60.5866656947	43.6553175251	56.4940129018	44.834828781
23.7445872074	4.77513142137	33.8762471538	6.63183650855
44.7348333109	27.9494448323	41.689180565	24.607777977
47.1306506663	34.9064780376	41.2597662041	25.8856913939
45.2032821055	79.0635740404	54.3162121966	78.5865437913
55.2570171341	64.3341018649	58.3661119474	74.5029967652
45.9529981256	10.2682205525	40.8202472861	6.30691995856
43.2441938254	24.9094084083	45.1544603893	21.9388078827
31.2984223513	11.7268672901	33.7796284941	12.9367976004
59.4640995444	87.6827026135	61.8715099267	91.5789804652
50.9438026581	41.6379135031	53.1419405799	45.3335233244
31.7285047479	12.4903829997	30.9396671813	15.2593928553
32.6256151336	25.1914341709	23.6217983418	22.6232705414
33.0878368521	23.003823149	26.2020034342	20.8474598713
49.3641894359	33.0434167997	43.6433755824	23.2971844825
46.6737581663	48.60672486	49.694458514	48.7661755776
27.6611771454	9.76520419268	30.9778902072	16.076565687
71.3981547428	88.8044516258	68.132161143	86.0675247797
68.5627654306	92.6288756372	68.0408847674	85.3394571936
64.8599638706	87.8120083903	65.645503436	87.2918504334
38.213199827	16.1693927462	32.8297271662	12.2826527638
55.5827357129	54.9490853685	55.0539016141	47.5992683796
58.4113312297	62.3288413495	64.1976318969	68.5994512813
61.307161386	94.6561113313	63.114878862	89.9721224683
71.4795418906	90.7429785871	68.1117371151	85.0547042799
55.0822017157	44.4810055496	56.6346969092	41.6697734259
39.8934894552	27.3647048509	38.5517783761	28.5385311781
26.1719216477	2.59869995461	31.7157984207	5.75024114931
49.6977718332	58.4988236426	47.1255923939	54.2823884545
28.6623387823	15.8117338356	29.2961379299	16.995636383
43.1064912036	13.796717432	40.0916962169	6.62374049947
61.7024868621	75.1224890664	61.0990882885	71.7290159032
62.8337035607	69.5484952316	62.8541038017	70.0174747914
56.3679668225	58.9999823874	66.5038082378	66.6054813172
58.9971750437	66.3263796115	59.2702645614	71.451220034
66.5274944321	90.5201714686	66.1612742032	86.8117730528
29.9904583508	12.7489815693	33.2828248518	12.6955341432
48.7209699208	53.0936303982	46.1253077991	56.4945993755
40.7966378241	21.4984485901	42.886621415	24.2543164086
32.1245373531	9.16881861463	33.9021404949	12.1566055773
20.8972821989	1.55672804415	24.9826180956	1.42501885326
41.4522165411	37.0283675664	38.9023932674	28.21067596
41.8600084666	34.8624241638	34.496824593	32.8011871091
39.6850464928	15.4768603651	34.6663161324	10.939904154
38.6001587194	35.7542778685	36.7065432625	29.8584757815
60.5559326454	63.0295031488	66.6844639145	66.3458510045
47.5383959004	67.0709325903	39.8472940631	63.0831101669
55.8142239505	78.5678237321	55.0941567565	77.9901832982
36.9203337805	18.4859561884	30.4659640738	15.9591937158
60.1863753971	77.7969936739	56.4089386137	76.5555986682
30.2404507089	21.5324449299	27.1546213358	19.9899026727
55.6109417288	54.5998659039	49.5952065091	48.8744017207
56.2572985091	43.4290597477	55.5458187327	45.5101513894
20.4729279912	10.3966047821	26.7353376031	18.2035304507
81.7244622612	78.1146527464	78.6013887465	74.6858848252
66.4013968042	87.8193348633	66.4838645267	87.7185632764
30.3877997107	40.1062668898	28.1120710962	38.9813662933
54.6982538508	61.9810042509	61.7240923513	71.2439148942
44.9836952823	36.4807812355	41.7645933866	25.3691805647
44.8570382418	77.053538836	52.9308124522	79.8249061771
70.2253366178	90.149719683	66.4351189589	87.7209447856
67.7787268413	82.4259175945	69.0524097506	83.9176191042
46.2486979561	65.462639425	43.0183805425	59.5931729344
54.1886032466	76.7160391033	54.2889249188	78.6587620461
26.0473634346	4.55145937583	27.8589904323	12.0236587905
34.8166771041	35.6123450364	32.4956587099	34.4073441852
37.502923267	13.4293539656	37.4710362421	9.50572654509
36.2540009944	20.0517872923	32.4244054893	14.4566200432
61.0486173962	63.1521513872	64.7657992136	68.2613206424
59.4209035713	50.0020296033	55.6674244265	45.9138843376
28.9489153525	14.5935687693	30.4627297098	16.3162541694
51.7159471933	67.3200907603	55.1454432469	78.1747011309
35.1635061627	7.99358479475	35.796089457	10.5820759202
43.9946570646	41.9812706566	48.2714822998	48.9654753093
53.4743082986	52.8182627068	52.1431140185	48.7253194827
49.7734994064	51.020732155	51.5472046729	48.9112066399
63.0720533077	66.5303891622	62.3932801342	70.5487367136
52.5010444088	59.536338533	49.3238873867	53.2680744315
32.763764429	31.4973414962	32.0695524804	35.0866379214
59.9545110187	73.5826761062	60.5641361712	72.2254343613
40.9912807052	64.7623760379	41.8056895218	59.3661576595
44.703946573	18.925907375	42.5648135375	22.8071798115
41.4328780706	51.0319769334	47.2664897438	50.3662303248
77.471643704	91.8326445341	74.0728513578	86.0103251526
66.6007450964	71.9602230601	62.5354642138	70.5124191205
61.4140789033	75.3714524457	55.7409533387	77.1149926394
64.2987934542	86.5370841427	65.4965254183	87.4509352511
37.4395175003	15.7044434331	33.2002589803	13.7139556749
51.8551019915	63.3036003053	62.8917369438	69.9894072351
24.9335221421	3.46001244414	29.9903955019	4.13829337337
54.6821344267	63.9153228262	64.1636791355	68.6116065767
