Plot	Values
left	-9.41424479396
lines	-7.43972501426
normal	-7.44
right	-6.19633828515
split	-9.03893223429
left	-8.49466409813
lines	-8.06904948255
normal	-7.4
right	-5.11930302818
split	-8.60745364275
left	-9.22620898128
lines	-8.96704158532
normal	-7.4
right	-5.13440171213
split	-8.49132436529
left	-8.14062982394
lines	-8.99930519646
normal	-7.36
right	-5.61368134692
split	-8.16654346377
left	-8.46796179461
lines	-9.41622923733
normal	-7.36
right	-6.75159414089
split	-9.00850754686
left	-9.20998042393
lines	-8.47393355353
normal	-7.32
right	-4.79400488457
split	-9.07914802678
left	-9.3453664512
lines	-7.47973353653
normal	-7.32
right	-5.8598843643
split	-8.82528513044
left	-9.16059947276
lines	-7.49998963662
normal	-7.28
right	-6.13558270255
split	-8.50176137702
left	-9.34651701349
lines	-7.49880816153
normal	-7.28
right	-6.63349334018
split	-9.04789564016
left	-8.68645855766
lines	-7.44094082835
normal	-7.24
right	-4.99091599839
split	-8.29708157951
left	-8.53828511639
lines	-7.48971891169
normal	-7.24
right	-5.76622887914
split	-8.81067261712
left	-9.24893558512
lines	-7.46161739503
normal	-7.2
right	-4.77790450511
split	-8.46823888173
left	-8.5188931388
lines	-8.56049171251
normal	-7.2
right	-5.56306472043
split	-8.53186005789
left	-8.66401302944
lines	-7.49441451136
normal	-7.16
right	-5.92332922285
split	-9.61197408743
left	-9.28822847546
lines	-7.49937076103
normal	-7.16
right	-5.90944508198
split	-8.69503792313
left	-9.32714083266
lines	-7.49696366345
normal	-7.12
right	-5.58511585362
split	-7.79815456379
left	-9.31004299682
lines	-7.49998748038
normal	-7.12
right	-5.15231528895
split	-8.24750964083
left	-8.68650302321
lines	-7.58189178794
normal	-7.08
right	-5.30406393868
split	-8.72512276314
left	-7.89646900285
lines	-7.49965966923
normal	-7.08
right	-6.44494587225
split	-8.89733079914
left	-7.69275885146
lines	-8.65377740608
normal	-7.04
right	-6.35177171223
split	-8.36141714236
left	-8.29966632737
lines	-7.49902976461
normal	-7.04
right	-6.1244475138
split	-8.25772975047
left	-8.43785750036
lines	-7.92101623761
normal	-7
right	-5.57253997156
split	-7.41272434768
left	-8.78629686972
lines	-8.13809145586
normal	-7
right	-5.90613428836
split	-8.8981017263
left	-8.09833139236
lines	-8.85367624164
normal	-6.96
right	-4.72731052771
split	-8.14696234198
left	-8.36124013848
lines	-8.68407926657
normal	-6.96
right	-4.22417126761
split	-8.82937183581
left	-8.11879769854
lines	-8.59530615915
normal	-6.92
right	-4.64368560418
split	-8.33940784225
left	-8.83753293267
lines	-7.49965485448
normal	-6.92
right	-5.57984792226
split	-7.90105954554
left	-8.76167699562
lines	-7.36649646301
normal	-6.88
right	-4.66813156966
split	-8.13711179321
left	-8.41795796795
lines	-7.46445806898
normal	-6.88
right	-5.73017686037
split	-9.17948640042
left	-9.17868175647
lines	-8.57285901184
normal	-6.84
right	-4.47481745422
split	-8.49984630891
left	-8.86146827887
lines	-8.56973633029
normal	-6.84
right	-5.39579857722
split	-8.56510926544
left	-8.19138730758
lines	-8.41930374684
normal	-6.8
right	-5.18749248757
split	-8.01587087432
left	-7.84714436395
lines	-7.49393576401
normal	-6.8
right	-5.70631427543
split	-7.85214217523
left	-8.27851025777
lines	-7.49999398169
normal	-6.76
right	-5.17823066089
split	-7.61528827363
left	-7.81749969656
lines	-8.05600099622
normal	-6.76
right	-4.44110640757
split	-8.84550475237
left	-8.41733242223
lines	-7.49657425355
normal	-6.72
right	-5.01294067152
split	-7.80469383332
left	-8.52661467375
lines	-7.81654758641
normal	-6.72
right	-5.56363994963
split	-7.86466145951
left	-8.19352179634
lines	-7.48045425202
normal	-6.68
right	-5.37874784967
split	-8.40008614355
left	-8.28472683754
lines	-7.49747003998
normal	-6.68
right	-4.65985857377
split	-8.57985626384
left	-7.7613425596
lines	-7.49752325692
normal	-6.64
right	-4.73002829313
split	-7.65428146395
left	-7.67853136083
lines	-8.38712976325
normal	-6.64
right	-4.8629375152
split	-8.00713987661
left	-7.68960046282
lines	-7.49832544191
normal	-6.64
right	-4.788538233
split	-8.14815512611
left	-7.84040597133
lines	-8.13394122044
normal	-6.6
right	-5.47541905859
split	-9.05450769648
left	-8.23322642717
lines	-7.45751483032
normal	-6.6
right	-5.38079041979
split	-8.12729489842
left	-8.58036456666
lines	-7.75585748988
normal	-6.6
right	-5.59121076802
split	-8.18227783957
left	-7.83640775825
lines	-7.49976982104
normal	-6.56
right	-5.52824347216
split	-8.52158517414
left	-8.51949620001
lines	-7.49116628769
normal	-6.56
right	-4.94075985232
split	-7.834398281
left	-7.50006359908
lines	-8.17838646409
normal	-6.56
right	-4.16306752988
split	-8.43118876756
left	-7.13690395028
lines	-7.48821944844
normal	-6.52
right	-5.3830050215
split	-7.7390236287
left	-7.7140926885
lines	-7.49980091266
normal	-6.52
right	-5.6340508475
split	-7.99236755431
left	-8.08391429453
lines	-7.72842306439
normal	-6.52
right	-4.71017714089
split	-8.15908218374
left	-7.65982073916
lines	-7.48456516358
normal	-6.48
right	-5.13415503557
split	-7.76877852598
left	-7.9149718914
lines	-7.46925925088
normal	-6.48
right	-5.23559712769
split	-7.63320854085
left	-7.99617702761
lines	-7.49927279716
normal	-6.48
right	-5.19582800638
split	-7.97051786617
left	-7.27964096362
lines	-7.49760268508
normal	-6.44
right	-4.28972934516
split	-7.51298265551
left	-9.30832391978
lines	-8.66923241574
normal	-6.44
right	-5.73982699036
split	-7.53576779882
left	-7.90508915138
lines	-8.00547784104
normal	-6.44
right	-5.57619248999
split	-7.98062377757
left	-7.85229266007
lines	-7.47065591751
normal	-6.4
right	-5.57792633026
split	-7.22382017691
left	-8.73601105505
lines	-7.49934623107
normal	-6.4
right	-5.30398987139
split	-7.56980175345
left	-7.95129667939
lines	-7.93960542265
normal	-6.4
right	-4.55675896502
split	-7.89246068758
left	-7.75684558711
lines	-7.44367151702
normal	-6.36
right	-5.00492445244
split	-7.15391416512
left	-7.65128925214
lines	-7.49998485422
normal	-6.36
right	-4.23388693201
split	-8.43124863132
left	-7.37857202176
lines	-7.45336946475
normal	-6.36
right	-4.47602905461
split	-8.26656417177
left	-8.55409390785
lines	-7.46491442285
normal	-6.32
right	-3.99011873091
split	-7.69647344995
left	-7.97351907964
lines	-7.48690016464
normal	-6.32
right	-5.07481500376
split	-7.60247751782
left	-8.30901379957
lines	-7.49930861322
normal	-6.32
right	-5.32714669234
split	-7.64052130684
left	-8.08175146647
lines	-7.49194117448
normal	-6.28
right	-4.53628214617
split	-9.04269797777
left	-7.58097819346
lines	-7.49998709039
normal	-6.28
right	-4.28977779911
split	-8.20694373208
left	-7.65589872198
lines	-8.20185985719
normal	-6.28
right	-3.82353407106
split	-7.64462096187
left	-8.01598581626
lines	-7.48018767924
normal	-6.24
right	-4.7764669726
split	-7.74467499683
left	-7.33905179792
lines	-7.4932828182
normal	-6.24
right	-4.81012201172
split	-7.55105389284
left	-8.82199923401
lines	-7.3022269952
normal	-6.24
right	-4.80485491008
split	-8.28426597163
left	-7.53662981048
lines	-7.49993194771
normal	-6.2
right	-4.74205083734
split	-7.7050984297
left	-7.36294561922
lines	-7.34244661893
normal	-6.2
right	-4.73605390538
split	-7.1828976976
left	-8.110400273
lines	-7.49992057053
normal	-6.2
right	-4.0900310683
split	-7.47006279611
left	-7.21449377579
lines	-7.49886381273
normal	-6.16
right	-4.94852449125
split	-7.16757160844
left	-7.72235547806
lines	-7.44363786978
normal	-6.16
right	-4.95247446681
split	-7.86375357165
left	-7.87962481445
lines	-7.4940837576
normal	-6.16
right	-4.00900905236
split	-8.9179358222
left	-7.25219423082
lines	-7.43836495544
normal	-6.12
right	-5.23818503616
split	-8.40410985936
left	-7.91508956743
lines	-7.78401967019
normal	-6.12
right	-4.18882959536
split	-8.14102826177
left	-7.42932325058
lines	-7.41331869412
normal	-6.12
right	-4.40722615108
split	-8.0676766963
left	-7.41721930308
lines	-7.49702377967
normal	-6.08
right	-4.82575839863
split	-7.63191531534
left	-7.22533851418
lines	-7.49764853742
normal	-6.08
right	-4.65813408192
split	-8.67363410486
left	-6.98084758811
lines	-7.34453273876
normal	-6.08
right	-3.80820552989
split	-7.26122936395
left	-6.78577466347
lines	-7.49496761012
normal	-6.04
right	-4.14283780559
split	-7.05181829868
left	-7.32794298874
lines	-7.10008064747
normal	-6.04
right	-5.20949907683
split	-7.70860590208
left	-7.49991593271
lines	-7.48696080446
normal	-6.04
right	-4.57753532402
split	-7.57416949378
left	-7.46179356428
lines	-6.72667560663
normal	-6
right	-4.09516939286
split	-7.90317988966
left	-7.72288151824
lines	-6.81889354497
normal	-6
right	-3.88657072093
split	-7.65193045859
left	-7.26493304476
lines	-7.49451321722
normal	-6
right	-3.78240815082
split	-7.74198057554
left	-7.63224416111
lines	-6.89295053663
normal	-5.96
right	-4.30182615031
split	-7.10701804027
left	-7.15816493401
lines	-6.65640942327
normal	-5.96
right	-4.35441510908
split	-7.18141276481
left	-7.41040188596
lines	-6.95974123354
normal	-5.96
right	-4.44977796348
split	-7.01573943204
left	-7.31551301698
lines	-7.16694895172
normal	-5.92
right	-4.82090446746
split	-7.07605229979
left	-7.39381129072
lines	-7.49978737715
normal	-5.92
right	-4.06426310569
split	-7.21557171037
left	-7.50765247768
lines	-6.49480714334
normal	-5.92
right	-4.9433466492000004
split	-7.78002351281
left	-7.17214757869
lines	-6.98471442533
normal	-5.88
right	-4.53670819968
split	-8.27908693084
left	-7.71390971332
lines	-7.49439258041
normal	-5.88
right	-4.7842393663
split	-7.11557362138
left	-7.32038877282
lines	-7.49644208181
normal	-5.88
right	-4.65603792196
split	-6.90374909406
left	-6.46886713136
lines	-7.25674547054
normal	-5.84
right	-4.47755519781
split	-7.74534578787
left	-7.29211605443
lines	-5.99987387368
normal	-5.84
right	-4.17473384452
split	-8.07694997274
left	-7.35521473307
lines	-5.99989598461
normal	-5.84
right	-4.24933742345
split	-7.63118290451
left	-7.08881028199
lines	-6.45355745695
normal	-5.8
right	-4.26296674531
split	-7.37191400142
left	-8.38586881172
lines	-6.74485094708
normal	-5.8
right	-4.31521330111
split	-7.39990050242
left	-7.2879870516
lines	-7.06883239915
normal	-5.8
right	-4.44029885378
split	-7.84277648624
left	-7.11058928338
lines	-5.97076015881
normal	-5.76
right	-4.84928778741
split	-7.32443092559
left	-8.27385392133
lines	-6.52427478009
normal	-5.76
right	-5.07221222875
split	-7.39169409716
left	-6.53682938558
lines	-7.19115125865
normal	-5.76
right	-4.76521220638
split	-6.91876495736
left	-7.18465857967
lines	-5.76654785065
normal	-5.76
right	-4.66963577388
split	-6.89398972616
left	-6.56861506899
lines	-5.99376949123
normal	-5.72
right	-3.72045407869
split	-6.52398751727
left	-6.73004277776
lines	-5.99851942111
normal	-5.72
right	-4.7125263078
split	-7.07722759886
left	-6.67758054311
lines	-6.47476202499
normal	-5.72
right	-4.39011079775
split	-6.79465089646
left	-7.11931809566
lines	-7.49918475242
normal	-5.72
right	-4.33686057526
split	-7.84573735661
left	-7.14385488424
lines	-5.9985289368
normal	-5.68
right	-4.28489778144
split	-6.90090902187
left	-7.77135444419
lines	-5.99879153712
normal	-5.68
right	-4.83852929565
split	-7.14571245867
left	-7.30526543976
lines	-7.42621596888
normal	-5.68
right	-4.01522752829
split	-7.40077227344
left	-6.77529909809
lines	-7.36282259182
normal	-5.68
right	-4.65662704248
split	-7.32348785485
left	-6.89047326868
lines	-5.99981345391
normal	-5.64
right	-3.31277041047
split	-7.22835297242
left	-7.30284317384
lines	-7.08921035929
normal	-5.64
right	-5.12959012084
split	-7.10928412737
left	-6.85638833463
lines	-7.35482469764
normal	-5.64
right	-4.40989167414
split	-6.695750497
left	-7.78017538254
lines	-6.99119757341
normal	-5.64
right	-4.19762883822
split	-6.89513696347
left	-7.25337754966
lines	-5.99932380702
normal	-5.6
right	-3.60937245271
split	-6.86454169019
left	-7.31530050715
lines	-5.99946220216
normal	-5.6
right	-4.10264119674
split	-7.18477706387
left	-8.28350817059
lines	-5.99522681815
normal	-5.6
right	-4.43228006716
split	-6.92188847704
left	-6.85037553324
lines	-5.98730530732
normal	-5.6
right	-4.12131981756
split	-7.57195247493
left	-7.72657074433
lines	-5.9922997108
normal	-5.56
right	-4.34320364667
split	-7.10154185059
left	-7.15271332968
lines	-6.07713527178
normal	-5.56
right	-3.77258234866
split	-7.39842400311
left	-8.05176590189
lines	-6.78784266872
normal	-5.56
right	-4.48679311913
split	-6.89372038575
left	-7.02251546219
lines	-5.98343483014
normal	-5.56
right	-3.8766842273
split	-6.89149101969
left	-7.20385932475
lines	-6.48951690039
normal	-5.52
right	-3.92434693984
split	-7.5861493365
left	-5.97364025916
lines	-6.98674934128
normal	-5.52
right	-3.97872359964
split	-6.49879889824
left	-6.53435834123
lines	-5.94696022
normal	-5.52
right	-3.01743041741
split	-7.51538170321
left	-7.12408222811
lines	-5.92652177622
normal	-5.52
right	-3.55417743801
split	-7.0852468481
left	-6.89753034942
lines	-7.19532440379
normal	-5.48
right	-3.60576766138
split	-6.5643182115
left	-7.1609550081
lines	-6.78484341542
normal	-5.48
right	-4.47889877706
split	-6.98130006864
left	-6.56632449487
lines	-6.08680496468
normal	-5.48
right	-3.47714463148
split	-7.03705056907
left	-6.77107315927
lines	-5.99155448335
normal	-5.48
right	-3.01805523715
split	-7.01025109826
left	-6.63161161646
lines	-5.97321677088
normal	-5.44
right	-3.92326204543
split	-7.40288820417
left	-6.88594004609
lines	-7.41609227019
normal	-5.44
right	-3.64223345597
split	-7.01662184191
left	-6.7721194293
lines	-5.98987378713
normal	-5.44
right	-3.84545304077
split	-7.2735514492
left	-6.72467880473
lines	-5.99756521835
normal	-5.44
right	-3.94014310786
split	-7.29672303904
left	-7.04586341756
lines	-5.9997928318
normal	-5.4
right	-4.25509468843
split	-6.82416778923
left	-6.91203431454
lines	-5.98537613801
normal	-5.4
right	-3.70760517216
split	-6.44567038665
left	-6.70435548505
lines	-5.94885733943
normal	-5.4
right	-4.06353223253
split	-7.67627051673
left	-7.33535968238
lines	-7.24805122781
normal	-5.4
right	-3.305673403
split	-6.93003514989
left	-6.63991226925
lines	-5.99946114657
normal	-5.36
right	-3.94404342318
split	-6.55841263597
left	-7.16031617099
lines	-7.06676646415
normal	-5.36
right	-4.50354744654
split	-7.36397519571
left	-6.15917080219
lines	-6.83749985754
normal	-5.36
right	-3.65183163898
split	-6.79943908585
left	-7.33353141985
lines	-5.99890194906
normal	-5.36
right	-3.73828157041
split	-7.11630331711
left	-6.78710248894
lines	-6.48460383371
normal	-5.32
right	-4.05044242153
split	-6.26327622424
left	-7.47009089792
lines	-5.99994300176
normal	-5.32
right	-4.56874217852
split	-7.37000061345
left	-7.53935172554
lines	-5.99788312132
normal	-5.32
right	-3.96366228739
split	-7.15728557299
left	-7.40184735079
lines	-6.72722301222
normal	-5.32
right	-3.70685095845
split	-7.2499836888700004
left	-6.58272809458
lines	-5.99575451725
normal	-5.28
right	-4.06687345239
split	-6.57195952868
left	-5.97749009301
lines	-6.9810886152
normal	-5.28
right	-3.70691375402
split	-6.83255879336
left	-6.82251062968
lines	-5.99983579455
normal	-5.28
right	-3.86294291192
split	-6.97343200856
left	-6.24160676996
lines	-5.91711937715
normal	-5.28
right	-4.34080210219
split	-6.72154184972
left	-6.78936831619
lines	-5.99823400721
normal	-5.24
right	-3.64083470415
split	-6.50475229578
left	-7.24385678474
lines	-6.04252797239
normal	-5.24
right	-3.8132015364
split	-6.30714272766
left	-6.42825043343
lines	-5.99909216637
normal	-5.24
right	-2.98107731511
split	-6.73234775105
left	-6.33363654029
lines	-5.93399801609
normal	-5.24
right	-4.02327818158
split	-6.86447281534
left	-7.10423597239
lines	-5.99979499138
normal	-5.2
right	-3.74427281273
split	-6.37685547844
left	-6.34936381031
lines	-6.43579007931
normal	-5.2
right	-4.16955411044
split	-6.23880315556
left	-7.3694057959
lines	-5.99764759178
normal	-5.2
right	-3.59102095093
split	-6.79879399736
left	-6.56953242534
lines	-5.99739612593
normal	-5.2
right	-3.86801637071
split	-5.97285498998
left	-6.74024016016
lines	-5.99741884507
normal	-5.16
right	-4.14191820688
split	-6.19633931955
left	-6.35908619102
lines	-7.05568244764
normal	-5.16
right	-3.3206931542300002
split	-6.98261819164
left	-6.67687799726
lines	-6.4336855708
normal	-5.16
right	-3.75832978572
split	-6.39733838142
left	-5.99797338931
lines	-7.23550088303
normal	-5.16
right	-3.15449585714
split	-6.70416972398
left	-6.70898054259
lines	-6.54088481747
normal	-5.12
right	-3.95108505181
split	-6.64165002844
left	-6.68070521236
lines	-5.99944099772
normal	-5.12
right	-3.31676054529
split	-6.55703119576
left	-5.8883089628
lines	-5.97019599919
normal	-5.12
right	-4.12672335751
split	-5.8840668177
left	-6.14968872874
lines	-5.99957637587
normal	-5.12
right	-3.66546115394
split	-6.8237551942
left	-6.49398755427
lines	-5.99937147827
normal	-5.08
right	-4.38901351622
split	-6.49694513045
left	-6.38618448983
lines	-5.99420791042
normal	-5.08
right	-2.71220758118
split	-6.06268832583
left	-6.41702105838
lines	-5.93748292965
normal	-5.08
right	-3.00030885896
split	-7.09661853848
left	-6.9489227693
lines	-5.95979866034
normal	-5.08
right	-3.64183481853
split	-6.26536601223
left	-6.71933054773
lines	-5.99473249978
normal	-5.04
right	-3.2407517576
split	-6.28730803537
left	-6.74688421682
lines	-5.58606688018
normal	-5.04
right	-4.13369641937
split	-6.57169959319
left	-7.01089602699
lines	-5.99928155007
normal	-5.04
right	-2.97040529502
split	-6.83980795968
left	-6.47047589218
lines	-5.9645813929
normal	-5.04
right	-3.21235776502
split	-6.30769462866
left	-6.80326391826
lines	-5.99787915299
normal	-5.04
right	-3.42146351925
split	-6.77329303086
left	-6.68997626312
lines	-5.92215436296
normal	-5
right	-2.69345167667
split	-7.04244496116
left	-6.25123384139
lines	-6.22225953724
normal	-5
right	-3.46362319924
split	-6.67701901666
left	-5.61130913809
lines	-5.99947426436
normal	-5
right	-2.93813678502
split	-6.01114935205
left	-5.76174825317
lines	-5.99492424095
normal	-5
right	-2.69552085082
split	-6.35034253658
left	-6.93542244301
lines	-5.99367942891
normal	-5
right	-4.05178494027
split	-6.91177077212
left	-5.87005426556
lines	-6.55902750262
normal	-4.96
right	-3.87432088192
split	-6.80313688301
left	-6.34861400389
lines	-5.99974007167
normal	-4.96
right	-3.71828469521
split	-6.98622923972
left	-6.51124829223
lines	-5.87062038772
normal	-4.96
right	-3.54705623028
split	-6.24956569796
left	-6.72845221281
lines	-5.99111602538
normal	-4.96
right	-4.1044401904
split	-6.96251304334
left	-6.11348809266
lines	-6.06568228184
normal	-4.96
right	-3.97551971987
split	-5.64504840148
left	-6.5148215263000004
lines	-6.7284467474
normal	-4.92
right	-3.82235816903
split	-7.13570882252
left	-6.23383691595
lines	-5.99529527983
normal	-4.92
right	-3.30200730136
split	-5.9130294993
left	-6.21990113379
lines	-5.99948127407
normal	-4.92
right	-3.3208216086
split	-6.7151359563
left	-7.14549593763
lines	-6.47698172629
normal	-4.92
right	-3.45290808609
split	-6.78508397192
left	-6.05003169992
lines	-6.27062954346
normal	-4.92
right	-3.80633710389
split	-6.34205487224
left	-6.28917693811
lines	-5.99939298325
normal	-4.88
right	-3.17628988195
split	-6.23925422505
left	-6.3851763747
lines	-5.99128490447
normal	-4.88
right	-3.58047761766
split	-6.35079873303
left	-7.28254219252
lines	-5.64681000119
normal	-4.88
right	-3.25461017563
split	-6.28175312429
left	-6.73043302591
lines	-6.84950954161
normal	-4.88
right	-3.42958257007
split	-6.14437334799
left	-5.71864061495
lines	-5.99587665028
normal	-4.88
right	-2.68302513281
split	-6.39191664108
left	-6.16451104384
lines	-5.73405536244
normal	-4.84
right	-3.02494546959
split	-6.49002227328
left	-5.79342628609
lines	-5.9999961295
normal	-4.84
right	-3.84720618794
split	-5.54764962064
left	-6.07610921492
lines	-5.92902083718
normal	-4.84
right	-3.14190354613
split	-6.2838905255
left	-6.09134946663
lines	-6.52474305362
normal	-4.84
right	-2.8938023352
split	-7.14869249043
left	-5.56766746193
lines	-6.8844654122
normal	-4.84
right	-3.73820434635
split	-7.60969228966
left	-6.7519238008
lines	-5.97397948324
normal	-4.8
right	-3.5103187044
split	-6.66369211711
left	-6.48540294435
lines	-5.69837741688
normal	-4.8
right	-2.98560111867
split	-6.83832965845
left	-6.27438004851
lines	-5.99985577546
normal	-4.8
right	-3.24398376265
split	-6.73621625902
left	-6.5255002687
lines	-5.99991790098
normal	-4.8
right	-3.29976515612
split	-6.58423961115
left	-5.67141710288
lines	-5.89392604088
normal	-4.8
right	-2.91034760499
split	-6.35913122836
left	-7.27013459446
lines	-5.83230827001
normal	-4.76
right	-3.10778158854
split	-5.7136217111
left	-7.20639411741
lines	-5.90987344193
normal	-4.76
right	-2.72428169857
split	-5.75563535931
left	-5.9585328292
lines	-5.99999098128
normal	-4.76
right	-3.12821993465
split	-5.53991364892
left	-6.91526837935
lines	-5.99731547641
normal	-4.76
right	-3.75299758738
split	-6.94959454504
left	-6.97061640995
lines	-6.64339508715
normal	-4.76
right	-2.8314336999
split	-5.99878474874
left	-7.35633927966
lines	-5.81964595535
normal	-4.72
right	-3.72113274212
split	-6.16221667879
left	-6.29771862836
lines	-5.9713440717
normal	-4.72
right	-3.23767633365
