	left	lines	normal	right	split
72	-9.20998042393	-8.47393355353	-7.32	-4.79400488457	-9.07914802678
73	-9.3453664512	-7.47973353653	-7.32	-5.8598843643	-8.82528513044
74	-9.16059947276	-7.49998963662	-7.28	-6.13558270255	-8.50176137702
75	-9.34651701349	-7.49880816153	-7.28	-6.63349334018	-9.04789564016
76	-8.68645855766	-7.44094082835	-7.24	-4.99091599839	-8.29708157951
77	-8.53828511639	-7.48971891169	-7.24	-5.76622887914	-8.81067261712
78	-9.24893558512	-7.46161739503	-7.2	-4.77790450511	-8.46823888173
79	-8.5188931388	-8.56049171251	-7.2	-5.56306472043	-8.53186005789
80	-8.66401302944	-7.49441451136	-7.16	-5.92332922285	-9.61197408743
81	-9.28822847546	-7.49937076103	-7.16	-5.90944508198	-8.69503792313
82	-9.32714083266	-7.49696366345	-7.12	-5.58511585362	-7.79815456379
83	-9.31004299682	-7.49998748038	-7.12	-5.15231528895	-8.24750964083
84	-8.68650302321	-7.58189178794	-7.08	-5.30406393868	-8.72512276314
85	-7.89646900285	-7.49965966923	-7.08	-6.44494587225	-8.89733079914
86	-7.69275885146	-8.65377740608	-7.04	-6.35177171223	-8.36141714236
87	-8.29966632737	-7.49902976461	-7.04	-6.1244475138	-8.25772975047
88	-8.43785750036	-7.92101623761	-7.0	-5.57253997156	-7.41272434768
89	-8.78629686972	-8.13809145586	-7.0	-5.90613428836	-8.8981017263
90	-8.09833139236	-8.85367624164	-6.96	-4.72731052771	-8.14696234198
91	-8.36124013848	-8.68407926657	-6.96	-4.22417126761	-8.82937183581
92	-8.11879769854	-8.59530615915	-6.92	-4.64368560418	-8.33940784225
93	-8.83753293267	-7.49965485448	-6.92	-5.57984792226	-7.90105954554
94	-8.76167699562	-7.36649646301	-6.88	-4.66813156966	-8.13711179321
95	-8.41795796795	-7.46445806898	-6.88	-5.73017686037	-9.17948640042
96	-9.17868175647	-8.57285901184	-6.84	-4.47481745422	-8.49984630891
97	-8.86146827887	-8.56973633029	-6.84	-5.39579857722	-8.56510926544
98	-8.19138730758	-8.41930374684	-6.8	-5.18749248757	-8.01587087432
99	-7.84714436395	-7.49393576401	-6.8	-5.70631427543	-7.85214217523
100	-8.27851025777	-7.49999398169	-6.76	-5.17823066089	-7.61528827363
101	-7.81749969656	-8.05600099622	-6.76	-4.44110640757	-8.84550475237
102	-8.41733242223	-7.49657425355	-6.72	-5.01294067152	-7.80469383332
103	-8.52661467375	-7.81654758641	-6.72	-5.56363994963	-7.86466145951
104	-8.19352179634	-7.48045425202	-6.68	-5.37874784967	-8.40008614355
105	-8.28472683754	-7.49747003998	-6.68	-4.65985857377	-8.57985626384
106	-7.7613425596	-7.49752325692	-6.64	-4.73002829313	-7.65428146395
107	-7.67853136083	-8.38712976325	-6.64	-4.8629375152	-8.00713987661
108	-7.68960046282	-7.49832544191	-6.64	-4.788538233	-8.14815512611
109	-7.84040597133	-8.13394122044	-6.6	-5.47541905859	-9.05450769648
110	-8.23322642717	-7.45751483032	-6.6	-5.38079041979	-8.12729489842
111	-8.58036456666	-7.75585748988	-6.6	-5.59121076802	-8.18227783957
112	-7.83640775825	-7.49976982104	-6.56	-5.52824347216	-8.52158517414
113	-8.51949620001	-7.49116628769	-6.56	-4.94075985232	-7.834398281
114	-7.50006359908	-8.17838646409	-6.56	-4.16306752988	-8.43118876756
115	-7.13690395028	-7.48821944844	-6.52	-5.3830050215	-7.7390236287
116	-7.7140926885	-7.49980091266	-6.52	-5.6340508475	-7.99236755431
117	-8.08391429453	-7.72842306439	-6.52	-4.71017714089	-8.15908218374
118	-7.65982073916	-7.48456516358	-6.48	-5.13415503557	-7.76877852598
119	-7.9149718914	-7.46925925088	-6.48	-5.23559712769	-7.63320854085
120	-7.99617702761	-7.49927279716	-6.48	-5.19582800638	-7.97051786617
121	-7.27964096362	-7.49760268508	-6.44	-4.28972934516	-7.51298265551
122	-9.30832391978	-8.66923241574	-6.44	-5.73982699036	-7.53576779882
123	-7.90508915138	-8.00547784104	-6.44	-5.57619248999	-7.98062377757
124	-7.85229266007	-7.47065591751	-6.4	-5.57792633026	-7.22382017691
125	-8.73601105505	-7.49934623107	-6.4	-5.30398987139	-7.56980175345
126	-7.95129667939	-7.93960542265	-6.4	-4.55675896502	-7.89246068758
127	-7.75684558711	-7.44367151702	-6.36	-5.00492445244	-7.15391416512
128	-7.65128925214	-7.49998485422	-6.36	-4.23388693201	-8.43124863132
129	-7.37857202176	-7.45336946475	-6.36	-4.47602905461	-8.26656417177
130	-8.55409390785	-7.46491442285	-6.32	-3.99011873091	-7.69647344995
131	-7.97351907964	-7.48690016464	-6.32	-5.07481500376	-7.60247751782
132	-8.30901379957	-7.49930861322	-6.32	-5.32714669234	-7.64052130684
133	-8.08175146647	-7.49194117448	-6.28	-4.53628214617	-9.04269797777
134	-7.58097819346	-7.49998709039	-6.28	-4.28977779911	-8.20694373208
135	-7.65589872198	-8.20185985719	-6.28	-3.82353407106	-7.64462096187
136	-8.01598581626	-7.48018767924	-6.24	-4.7764669726	-7.74467499683
137	-7.33905179792	-7.4932828182	-6.24	-4.81012201172	-7.55105389284
138	-8.82199923401	-7.3022269952	-6.24	-4.80485491008	-8.28426597163
139	-7.53662981048	-7.49993194771	-6.2	-4.74205083734	-7.7050984297
140	-7.36294561922	-7.34244661893	-6.2	-4.73605390538	-7.1828976976
141	-8.110400273	-7.49992057053	-6.2	-4.0900310683	-7.47006279611
142	-7.21449377579	-7.49886381273	-6.16	-4.94852449125	-7.16757160844
143	-7.72235547806	-7.44363786978	-6.16	-4.95247446681	-7.86375357165
144	-7.87962481445	-7.4940837576	-6.16	-4.00900905236	-8.9179358222
145	-7.25219423082	-7.43836495544	-6.12	-5.23818503616	-8.40410985936
146	-7.91508956743	-7.78401967019	-6.12	-4.18882959536	-8.14102826177
147	-7.42932325058	-7.41331869412	-6.12	-4.40722615108	-8.0676766963
148	-7.41721930308	-7.49702377967	-6.08	-4.82575839863	-7.63191531534
149	-7.22533851418	-7.49764853742	-6.08	-4.65813408192	-8.67363410486
150	-6.98084758811	-7.34453273876	-6.08	-3.80820552989	-7.26122936395
151	-6.78577466347	-7.49496761012	-6.04	-4.14283780559	-7.05181829868
152	-7.32794298874	-7.10008064747	-6.04	-5.20949907683	-7.70860590208
153	-7.49991593271	-7.48696080446	-6.04	-4.57753532402	-7.57416949378
154	-7.46179356428	-6.72667560663	-6.0	-4.09516939286	-7.90317988966
155	-7.72288151824	-6.81889354497	-6.0	-3.88657072093	-7.65193045859
156	-7.26493304476	-7.49451321722	-6.0	-3.78240815082	-7.74198057554
157	-7.63224416111	-6.89295053663	-5.96	-4.30182615031	-7.10701804027
158	-7.15816493401	-6.65640942327	-5.96	-4.35441510908	-7.18141276481
159	-7.41040188596	-6.95974123354	-5.96	-4.44977796348	-7.01573943204
160	-7.31551301698	-7.16694895172	-5.92	-4.82090446746	-7.07605229979
161	-7.39381129072	-7.49978737715	-5.92	-4.06426310569	-7.21557171037
162	-7.50765247768	-6.49480714334	-5.92	-4.9433466492	-7.78002351281
163	-7.17214757869	-6.98471442533	-5.88	-4.53670819968	-8.27908693084
164	-7.71390971332	-7.49439258041	-5.88	-4.7842393663	-7.11557362138
165	-7.32038877282	-7.49644208181	-5.88	-4.65603792196	-6.90374909406
166	-6.46886713136	-7.25674547054	-5.84	-4.47755519781	-7.74534578787
167	-7.29211605443	-5.99987387368	-5.84	-4.17473384452	-8.07694997274
168	-7.35521473307	-5.99989598461	-5.84	-4.24933742345	-7.63118290451
169	-7.08881028199	-6.45355745695	-5.8	-4.26296674531	-7.37191400142
170	-8.38586881172	-6.74485094708	-5.8	-4.31521330111	-7.39990050242
171	-7.2879870516	-7.06883239915	-5.8	-4.44029885378	-7.84277648624
172	-7.11058928338	-5.97076015881	-5.76	-4.84928778741	-7.32443092559
173	-8.27385392133	-6.52427478009	-5.76	-5.07221222875	-7.39169409716
174	-6.53682938558	-7.19115125865	-5.76	-4.76521220638	-6.91876495736
175	-7.18465857967	-5.76654785065	-5.76	-4.66963577388	-6.89398972616
176	-6.56861506899	-5.99376949123	-5.72	-3.72045407869	-6.52398751727
177	-6.73004277776	-5.99851942111	-5.72	-4.7125263078	-7.07722759886
178	-6.67758054311	-6.47476202499	-5.72	-4.39011079775	-6.79465089646
179	-7.11931809566	-7.49918475242	-5.72	-4.33686057526	-7.84573735661
180	-7.14385488424	-5.9985289368	-5.68	-4.28489778144	-6.90090902187
181	-7.77135444419	-5.99879153712	-5.68	-4.83852929565	-7.14571245867
182	-7.30526543976	-7.42621596888	-5.68	-4.01522752829	-7.40077227344
183	-6.77529909809	-7.36282259182	-5.68	-4.65662704248	-7.32348785485
184	-6.89047326868	-5.99981345391	-5.64	-3.31277041047	-7.22835297242
185	-7.30284317384	-7.08921035929	-5.64	-5.12959012084	-7.10928412737
186	-6.85638833463	-7.35482469764	-5.64	-4.40989167414	-6.695750497
187	-7.78017538254	-6.99119757341	-5.64	-4.19762883822	-6.89513696347
188	-7.25337754966	-5.99932380702	-5.6	-3.60937245271	-6.86454169019
189	-7.31530050715	-5.99946220216	-5.6	-4.10264119674	-7.18477706387
190	-8.28350817059	-5.99522681815	-5.6	-4.43228006716	-6.92188847704
191	-6.85037553324	-5.98730530732	-5.6	-4.12131981756	-7.57195247493
192	-7.72657074433	-5.9922997108	-5.56	-4.34320364667	-7.10154185059
193	-7.15271332968	-6.07713527178	-5.56	-3.77258234866	-7.39842400311
194	-8.05176590189	-6.78784266872	-5.56	-4.48679311913	-6.89372038575
195	-7.02251546219	-5.98343483014	-5.56	-3.8766842273	-6.89149101969
196	-7.20385932475	-6.48951690039	-5.52	-3.92434693984	-7.5861493365
197	-5.97364025916	-6.98674934128	-5.52	-3.97872359964	-6.49879889824
198	-6.53435834123	-5.94696022	-5.52	-3.01743041741	-7.51538170321
199	-7.12408222811	-5.92652177622	-5.52	-3.55417743801	-7.0852468481
200	-6.89753034942	-7.19532440379	-5.48	-3.60576766138	-6.5643182115
201	-7.1609550081	-6.78484341542	-5.48	-4.47889877706	-6.98130006864
202	-6.56632449487	-6.08680496468	-5.48	-3.47714463148	-7.03705056907
203	-6.77107315927	-5.99155448335	-5.48	-3.01805523715	-7.01025109826
204	-6.63161161646	-5.97321677088	-5.44	-3.92326204543	-7.40288820417
205	-6.88594004609	-7.41609227019	-5.44	-3.64223345597	-7.01662184191
206	-6.7721194293	-5.98987378713	-5.44	-3.84545304077	-7.2735514492
207	-6.72467880473	-5.99756521835	-5.44	-3.94014310786	-7.29672303904
208	-7.04586341756	-5.9997928318	-5.4	-4.25509468843	-6.82416778923
209	-6.91203431454	-5.98537613801	-5.4	-3.70760517216	-6.44567038665
210	-6.70435548505	-5.94885733943	-5.4	-4.06353223253	-7.67627051673
211	-7.33535968238	-7.24805122781	-5.4	-3.305673403	-6.93003514989
212	-6.63991226925	-5.99946114657	-5.36	-3.94404342318	-6.55841263597
213	-7.16031617099	-7.06676646415	-5.36	-4.50354744654	-7.36397519571
214	-6.15917080219	-6.83749985754	-5.36	-3.65183163898	-6.79943908585
215	-7.33353141985	-5.99890194906	-5.36	-3.73828157041	-7.11630331711
216	-6.78710248894	-6.48460383371	-5.32	-4.05044242153	-6.26327622424
217	-7.47009089792	-5.99994300176	-5.32	-4.56874217852	-7.37000061345
218	-7.53935172554	-5.99788312132	-5.32	-3.96366228739	-7.15728557299
219	-7.40184735079	-6.72722301222	-5.32	-3.70685095845	-7.24998368887
220	-6.58272809458	-5.99575451725	-5.28	-4.06687345239	-6.57195952868
221	-5.97749009301	-6.9810886152	-5.28	-3.70691375402	-6.83255879336
222	-6.82251062968	-5.99983579455	-5.28	-3.86294291192	-6.97343200856
223	-6.24160676996	-5.91711937715	-5.28	-4.34080210219	-6.72154184972
224	-6.78936831619	-5.99823400721	-5.24	-3.64083470415	-6.50475229578
225	-7.24385678474	-6.04252797239	-5.24	-3.8132015364	-6.30714272766
226	-6.42825043343	-5.99909216637	-5.24	-2.98107731511	-6.73234775105
227	-6.33363654029	-5.93399801609	-5.24	-4.02327818158	-6.86447281534
228	-7.10423597239	-5.99979499138	-5.2	-3.74427281273	-6.37685547844
229	-6.34936381031	-6.43579007931	-5.2	-4.16955411044	-6.23880315556
230	-7.3694057959	-5.99764759178	-5.2	-3.59102095093	-6.79879399736
231	-6.56953242534	-5.99739612593	-5.2	-3.86801637071	-5.97285498998
232	-6.74024016016	-5.99741884507	-5.16	-4.14191820688	-6.19633931955
233	-6.35908619102	-7.05568244764	-5.16	-3.32069315423	-6.98261819164
234	-6.67687799726	-6.4336855708	-5.16	-3.75832978572	-6.39733838142
235	-5.99797338931	-7.23550088303	-5.16	-3.15449585714	-6.70416972398
236	-6.70898054259	-6.54088481747	-5.12	-3.95108505181	-6.64165002844
237	-6.68070521236	-5.99944099772	-5.12	-3.31676054529	-6.55703119576
238	-5.8883089628	-5.97019599919	-5.12	-4.12672335751	-5.8840668177
239	-6.14968872874	-5.99957637587	-5.12	-3.66546115394	-6.8237551942
240	-6.49398755427	-5.99937147827	-5.08	-4.38901351622	-6.49694513045
241	-6.38618448983	-5.99420791042	-5.08	-2.71220758118	-6.06268832583
242	-6.41702105838	-5.93748292965	-5.08	-3.00030885896	-7.09661853848
243	-6.9489227693	-5.95979866034	-5.08	-3.64183481853	-6.26536601223
244	-6.71933054773	-5.99473249978	-5.04	-3.2407517576	-6.28730803537
245	-6.74688421682	-5.58606688018	-5.04	-4.13369641937	-6.57169959319
246	-7.01089602699	-5.99928155007	-5.04	-2.97040529502	-6.83980795968
247	-6.47047589218	-5.9645813929	-5.04	-3.21235776502	-6.30769462866
248	-6.80326391826	-5.99787915299	-5.04	-3.42146351925	-6.77329303086
249	-6.68997626312	-5.92215436296	-5.0	-2.69345167667	-7.04244496116
250	-6.25123384139	-6.22225953724	-5.0	-3.46362319924	-6.67701901666
251	-5.61130913809	-5.99947426436	-5.0	-2.93813678502	-6.01114935205
252	-5.76174825317	-5.99492424095	-5.0	-2.69552085082	-6.35034253658
253	-6.93542244301	-5.99367942891	-5.0	-4.05178494027	-6.91177077212
254	-5.87005426556	-6.55902750262	-4.96	-3.87432088192	-6.80313688301
255	-6.34861400389	-5.99974007167	-4.96	-3.71828469521	-6.98622923972
256	-6.51124829223	-5.87062038772	-4.96	-3.54705623028	-6.24956569796
257	-6.72845221281	-5.99111602538	-4.96	-4.1044401904	-6.96251304334
258	-6.11348809266	-6.06568228184	-4.96	-3.97551971987	-5.64504840148
259	-6.5148215263	-6.7284467474	-4.92	-3.82235816903	-7.13570882252
260	-6.23383691595	-5.99529527983	-4.92	-3.30200730136	-5.9130294993
261	-6.21990113379	-5.99948127407	-4.92	-3.3208216086	-6.7151359563
262	-7.14549593763	-6.47698172629	-4.92	-3.45290808609	-6.78508397192
263	-6.05003169992	-6.27062954346	-4.92	-3.80633710389	-6.34205487224
264	-6.28917693811	-5.99939298325	-4.88	-3.17628988195	-6.23925422505
265	-6.3851763747	-5.99128490447	-4.88	-3.58047761766	-6.35079873303
266	-7.28254219252	-5.64681000119	-4.88	-3.25461017563	-6.28175312429
267	-6.73043302591	-6.84950954161	-4.88	-3.42958257007	-6.14437334799
268	-5.71864061495	-5.99587665028	-4.88	-2.68302513281	-6.39191664108
269	-6.16451104384	-5.73405536244	-4.84	-3.02494546959	-6.49002227328
270	-5.79342628609	-5.9999961295	-4.84	-3.84720618794	-5.54764962064
271	-6.07610921492	-5.92902083718	-4.84	-3.14190354613	-6.2838905255
272	-6.09134946663	-6.52474305362	-4.84	-2.8938023352	-7.14869249043
273	-5.56766746193	-6.8844654122	-4.84	-3.73820434635	-7.60969228966
274	-6.7519238008	-5.97397948324	-4.8	-3.5103187044	-6.66369211711
275	-6.48540294435	-5.69837741688	-4.8	-2.98560111867	-6.83832965845
276	-6.27438004851	-5.99985577546	-4.8	-3.24398376265	-6.73621625902
277	-6.5255002687	-5.99991790098	-4.8	-3.29976515612	-6.58423961115
278	-5.67141710288	-5.89392604088	-4.8	-2.91034760499	-6.35913122836
279	-7.27013459446	-5.83230827001	-4.76	-3.10778158854	-5.7136217111
280	-7.20639411741	-5.90987344193	-4.76	-2.72428169857	-5.75563535931
281	-5.9585328292	-5.99999098128	-4.76	-3.12821993465	-5.53991364892
282	-6.91526837935	-5.99731547641	-4.76	-3.75299758738	-6.94959454504
283	-6.97061640995	-6.64339508715	-4.76	-2.8314336999	-5.99878474874
284	-7.35633927966	-5.81964595535	-4.72	-3.72113274212	-6.16221667879
285	-6.29771862836	-5.9713440717	-4.72	-3.23767633365	-6.39925015786
286	-6.86520338244	-5.96574782645	-4.72	-2.70979043736	-6.71812874956
287	-6.64793000544	-5.93538499436	-4.72	-3.53163234502	-6.49627119807
288	-5.90863635311	-6.43176412594	-4.72	-3.01885799931	-5.64939631619
289	-5.52071623278	-5.99697066488	-4.68	-2.78248944594	-6.03084495523
290	-7.00908233884	-5.96463519551	-4.68	-3.75419415301	-6.00139018112
291	-6.04677428325	-6.57547251603	-4.68	-3.04257822344	-6.62346864019
292	-5.89115563232	-5.99974824729	-4.68	-3.54754397083	-5.94984063408
293	-5.93621875733	-5.99987295504	-4.68	-3.43023147406	-5.7917026444
294	-7.02572395994	-4.48468953023	-4.64	-3.77016492679	-5.64195551926
295	-6.47946695681	-5.99998545741	-4.64	-2.6948105254	-6.23122180621
296	-6.65743084363	-5.90976579038	-4.64	-2.98845118087	-6.35095002305
297	-6.34569388559	-5.23350147676	-4.64	-3.44299934026	-6.26644047277
298	-5.59746773336	-5.99878040606	-4.64	-3.25706726412	-6.06748769394
299	-6.61768659164	-5.08591878002	-4.6	-3.65866776918	-6.01607467854
300	-6.25396223477	-6.28640345666	-4.6	-2.78527601812	-6.957604413
301	-6.51221504143	-5.37417135109	-4.6	-3.68122973755	-6.2306404983
302	-5.60284088263	-5.99940663448	-4.6	-2.86587517406	-6.02550785678
303	-6.20211089875	-5.95809379468	-4.6	-3.18748609586	-5.80558521478
304	-5.46679833506	-4.49981761177	-4.56	-2.76181798044	-6.55365488388
305	-6.48706528388	-5.42926074445	-4.56	-3.49791980881	-5.60864257149
306	-6.5682917625	-5.99462566363	-4.56	-3.43245902558	-6.19324439742
307	-5.69671147501	-5.43455825149	-4.56	-3.0858856384	-6.34010925648
308	-5.0680020538	-4.49992293891	-4.56	-2.69515333947	-6.37057481593
309	-5.58119540691	-4.49301511431	-4.52	-3.15208658551	-6.79605523501
310	-6.00680306074	-5.99979656053	-4.52	-3.2764963096	-5.90329215698
311	-5.94168752471	-4.49905062715	-4.52	-2.99643986339	-5.69736634386
312	-5.74934905181	-5.78099160355	-4.52	-3.32280246081	-7.42415224351
313	-5.82208737445	-5.9607555239	-4.52	-3.00247933283	-6.08920398948
314	-5.99760338384	-5.99984912119	-4.48	-3.26057842607	-6.63921101515
315	-5.92057945657	-5.5262996886	-4.48	-2.68799487728	-5.09884267676
316	-6.64697608477	-4.49924775868	-4.48	-3.39988280681	-5.67420635843
317	-6.07452578378	-5.99378736683	-4.48	-2.68861136047	-6.42495420193
318	-6.06126049863	-5.89162520318	-4.48	-2.98298382844	-5.33533955397
319	-5.62277818682	-4.49401299331	-4.44	-3.33803273732	-5.86911098889
320	-5.70748528455	-4.48879763364	-4.44	-3.15846424415	-6.22034671873
321	-5.79757825937	-4.49828126872	-4.44	-2.71044441194	-6.1516170953
322	-6.62786621761	-5.48215439396	-4.44	-3.89326062367	-6.5992982058
323	-5.44263487948	-4.48785971233	-4.44	-3.24606803178	-5.72740677313
324	-5.89610036912	-5.37521273789	-4.4	-3.01834942857	-6.19135591096
325	-6.35936118643	-4.49062720568	-4.4	-3.43488674921	-5.71468757659
326	-6.2680590954	-5.99179201985	-4.4	-2.7083833323	-6.17081095637
327	-5.8822319657	-4.90569361556	-4.4	-2.70438173366	-6.14609684109
328	-5.99578535098	-5.12839959751	-4.4	-2.83422730511	-5.10799068068
329	-5.87706396345	-5.62295747015	-4.36	-2.73005951693	-5.8412608615
330	-6.08785098894	-4.45664386771	-4.36	-2.87903432836	-5.34316823049
331	-6.01240858833	-6.4365237337	-4.36	-2.68623251912	-6.08228322407
332	-6.26487548606	-5.54397847745	-4.36	-2.99465896842	-6.33742479355
333	-5.46034933377	-4.49716394351	-4.36	-2.84109132159	-6.34395480902
334	-5.81492215144	-5.03780451107	-4.36	-2.99439035928	-5.42193837155
335	-5.85277154897	-5.53100092618	-4.32	-2.7413855934	-6.60507111846
336	-6.59168623234	-4.53997915296	-4.32	-3.06491590703	-5.8460346707
337	-6.12330574536	-5.99444414202	-4.32	-3.1301332324	-6.43174402616
338	-5.57721402914	-5.99974407709	-4.32	-3.65681830514	-4.88336541024
339	-5.8512445459	-4.1687307636	-4.32	-2.77973668282	-5.60352988705
340	-5.3782402768	-4.41299517646	-4.32	-2.68463871862	-5.78468089389
341	-6.586023792	-5.69830275681	-4.28	-2.83696538867	-4.71410043341
342	-6.43021210549	-5.66688789008	-4.28	-2.70587977531	-5.72602518561
343	-5.8973546894	-5.4030390529	-4.28	-2.93565571186	-6.02813554802
344	-5.64452264907	-4.62895627959	-4.28	-3.38473701648	-6.06924456111
345	-6.49786048066	-4.49469193319	-4.28	-2.71037333551	-5.39973564656
346	-5.32803088246	-4.89925747831	-4.28	-3.52473023894	-6.5152645148
347	-6.47632355465	-5.21672320996	-4.24	-2.94333975822	-5.30849455377
348	-5.94714671051	-5.33061209483	-4.24	-3.21851072445	-5.42697606342
349	-5.24604044402	-5.89196078203	-4.24	-3.1337999728	-6.83765926889
350	-5.37993865994	-5.99955974192	-4.24	-2.98606191763	-5.95718652675
351	-6.0460123682	-4.4975715812	-4.24	-2.77913113417	-5.80124533735
352	-5.60534279075	-4.4999964297	-4.24	-2.68997068233	-5.38369827939
353	-6.23300169482	-5.4329467649	-4.2	-2.71150522674	-5.85780411213
354	-5.84447309128	-4.93777403826	-4.2	-2.68029769059	-5.63109073097
355	-5.32631342548	-4.49343819239	-4.2	-2.73068427841	-5.76480061555
356	-5.50157262444	-5.19880495062	-4.2	-2.68621529589	-5.31884158999
357	-4.85707491894	-4.49969578686	-4.2	-2.68908931509	-6.41319972558
