dataset	x	y
h_lines	51.238125992	46.1934332073
h_lines	81.262880352	49.9683112966
h_lines	51.6258669342	46.1967069025
h_lines	63.2145489256	90.0539888511
h_lines	28.4772799568	30.4006446009
h_lines	47.4379706334	49.8524044854
h_lines	59.4571376708	29.7230310986
h_lines	19.2954644682	9.80018713406
h_lines	44.8314997744	70.1689722532
h_lines	42.1811421021	90.3414137093
h_lines	60.3840377808	50.0471665942
h_lines	68.4005167607	46.1952281351
h_lines	72.835576107	30.4343408035
h_lines	47.2665637881	30.4584104863
h_lines	63.6373794219	29.5282832135
h_lines	57.8548808551	9.61318361736
h_lines	67.0241550822	46.1967101751
h_lines	51.8397639077	70.2187450922
h_lines	44.4778838591	10.1719648911
h_lines	20.0087089607	46.1967494447
h_lines	15.0871589474	46.1933623213
h_lines	24.4518317115	10.1880656041
h_lines	59.8088665645	10.108815534
h_lines	74.7256551199	89.6411554477
h_lines	68.4538459275	30.3613912745
h_lines	68.1578422186	9.64154126944
h_lines	73.4288739272	50.3421051099
h_lines	59.4389110193	46.1968044276
h_lines	55.317833986	46.1937960678
h_lines	41.8299125194	46.1956848207
h_lines	44.56036023	29.7844314244
h_lines	71.1484831517	49.5952365708
h_lines	78.7827700641	30.459916441
h_lines	23.9290508921	46.1977549528
h_lines	34.9534279317	29.8874895018
h_lines	63.4691157437	10.0521063621
h_lines	62.776487068	30.3745301059
h_lines	53.3915573646	49.5602998291
h_lines	61.4275372499	50.169176438
h_lines	49.6977293729	69.5079176658
h_lines	40.9610576971	29.707210219
h_lines	66.6074987076	50.164993723
h_lines	45.0897944373	9.53614719254
h_lines	53.3101913025	49.8813351303
h_lines	71.7183337165	10.4879971572
h_lines	20.577487553	10.0676044194
h_lines	59.5986017445	29.8054478022
h_lines	61.3042231321	30.4298067969
h_lines	59.0842055498	10.075080878
h_lines	39.1217140856	9.75493702502
h_lines	59.2691048005	29.6518369424
h_lines	37.4927209587	69.9349651761
h_lines	49.8313779903	50.2270082644
h_lines	22.8337189963	29.8774748294
h_lines	44.9927477187	46.1977564686
h_lines	64.712331434	90.3806898427
h_lines	35.0959282091	10.4452061536
h_lines	68.1406555158	50.1266871894
h_lines	77.4640407498	89.8507682125
h_lines	38.3734460252	67.9059556419
h_lines	61.8487640775	10.1002237354
h_lines	60.8572951272	49.8079150908
h_lines	63.5372914273	50.0226356433
h_lines	49.1254030691	10.1494481847
h_lines	70.4686009708	70.0799767149
h_lines	72.1776242575	89.8844607378
h_lines	45.7365671028	49.6525160079
h_lines	68.9766941857	90.1919647246
h_lines	41.1926436079	70.2903024553
h_lines	54.0529288466	46.2421615847
h_lines	54.3789331741	30.2844575911
h_lines	47.9187995781	29.81035177
h_lines	38.4282218364	10.3625448883
h_lines	55.9094199812	46.1947984629
h_lines	32.4662477737	50.2015489217
h_lines	48.2496451674	46.1964540475
h_lines	36.4089299197	29.850568655
h_lines	46.4372675172	46.1966216894
h_lines	88.2544177206	49.8451683718
h_lines	46.6752456112	29.8717540346
h_lines	33.8325144711	49.6059928793
h_lines	53.5607359801	30.3037945454
h_lines	56.4772278959	49.5640832077
h_lines	71.4078877661	70.1247980763
h_lines	64.6840008294	70.3195742892
h_lines	64.0912419885	90.0818927305
h_lines	27.8858656454	70.221355967
h_lines	48.9776205076	9.88786469241
h_lines	56.2972788005	29.6726700725
h_lines	62.5818119372	50.0257111955
h_lines	49.223195948	9.71741786448
h_lines	40.0416960073	30.3249024009
h_lines	70.1700988868	70.2072723964
h_lines	73.4130966108	49.7497257277
h_lines	48.8354546358	89.9957478472
h_lines	57.7158349916	50.0331801228
h_lines	49.0212969917	30.3116194346
h_lines	58.9473755018	49.6602761717
h_lines	62.2467669739	90.2641149316
h_lines	99.7313398004	70.4823030268
h_lines	49.4959633924	30.4187762878
h_lines	45.565006972	89.5534991921
h_lines	41.2027753259	9.98058616957
h_lines	51.5615410542	30.3639063083
h_lines	27.705172593	10.2768822864
h_lines	52.6010193325	67.9178032693
h_lines	16.0531694315	29.9000593629
h_lines	58.6313386682	67.9287846415
h_lines	47.5266942605	29.5223914033
h_lines	32.5579648896	67.9352073243
h_lines	62.489229287	46.1950650461
h_lines	38.0416194458	67.9212927868
h_lines	50.7550614329	69.9109446536
h_lines	43.2002911328	50.1721205533
h_lines	49.3922472083	49.5678295448
h_lines	65.3435936466	89.6054098465
h_lines	46.8154644265	9.71550919102
h_lines	82.3310004107	69.8393873487
h_lines	66.8642543425	50.0086694511
h_lines	21.1979811612	29.6417755215
h_lines	67.9245629829	46.1977784313
h_lines	53.3140148151	46.1867782879
h_lines	83.6820778271	49.9542112106
h_lines	57.1592640589	67.9257069398
h_lines	57.5109642825	46.1976936301
h_lines	48.08799245	50.4164442525
h_lines	73.4560896548	69.841556306
h_lines	44.9718057251	70.0308403368
h_lines	65.2450558805	46.1960040743
h_lines	52.5738327774	89.8227390021
h_lines	70.7128201158	67.9137752408
h_lines	50.5725037487	29.6041294742
h_lines	68.1999097704	30.372698017
h_lines	50.5666923784	49.9690108952
h_lines	39.0850609692	30.4964243627
v_lines	70.3647776158	85.2857007079
v_lines	89.8591452064	43.4501293797
v_lines	30.1374876584	44.2069962445
v_lines	49.7715416865	35.3112048325
v_lines	53.7991261514	53.6730346105
v_lines	53.7956592717	84.0020676882
v_lines	45.8812250452	17.8439386197
v_lines	70.4371048891	21.9094843986
v_lines	29.9573880925	3.62885417463
v_lines	65.0711386025	32.0927925401
v_lines	50.4336890736	16.7011445858
v_lines	45.9013225109	62.4265720171
v_lines	69.8491050401	80.313059426
v_lines	53.7951421199	70.5708320507
v_lines	30.2619994199	63.8263710158
v_lines	90.0216962287	58.1880261035
v_lines	90.2076900378	85.3128572189
v_lines	53.7961109451	8.45637063493
v_lines	50.4525907295	61.4202687453
v_lines	69.5578102052	46.9340237884
v_lines	49.6338403741	93.6240956812
v_lines	45.9378312902	24.2546167139
v_lines	45.8925169418	59.2539212093
v_lines	50.1065136283	62.3215535162
v_lines	53.7980034707	79.1521010506
v_lines	53.7955461927	56.2377367764
v_lines	65.0455832188	82.2185115098
v_lines	53.7967878662	43.1523323765
v_lines	49.7471139566	45.5150489555
v_lines	29.9716790797	10.7208547946
v_lines	65.0722209501	37.1470003462
v_lines	90.0493672964	97.3506311578
v_lines	65.0718189025	16.9463152598
v_lines	49.8632103297	69.7872597472
v_lines	49.5879375721	61.2720067839
v_lines	30.3353162498	92.7770309739
v_lines	45.8993077019	82.7073181137
v_lines	69.5792291507	97.5074895605
v_lines	69.9719620066	77.8602965488
v_lines	70.3941273346	80.3279744541
v_lines	53.7957452081	29.695400754
v_lines	29.9250975204	34.1609976609
v_lines	53.7965557893	84.9616297308
v_lines	45.8862414971	16.4740136036
v_lines	29.6581851195	33.7546788165
v_lines	53.7984146865	70.6504190666
v_lines	69.8022301527	46.0797686082
v_lines	49.800758594	43.6898016574
v_lines	90.1441800806	66.2201821661
v_lines	50.2648373924	45.9345920214
v_lines	53.7958214584	90.6820355807
v_lines	45.8768462543	35.5258105685
v_lines	50.1419074737	58.250365701
v_lines	65.0637161617	22.9886905147
v_lines	29.7423445767	1.36189961658
v_lines	49.8955677542	71.0583674388
v_lines	30.2447741312	92.0941385413
v_lines	65.0525184201	56.9584215614
v_lines	70.2394807095	36.429043066
v_lines	69.6291425514	36.4418525701
v_lines	49.5927752876	42.4606557766
v_lines	65.0564447422	22.8754556519
v_lines	65.0696127469	1.9644863092
v_lines	69.9732198599	40.7360334965
v_lines	50.0856667609	72.2013031955
v_lines	45.8763986251	20.0081851777
v_lines	9.86443927902	37.6983648406
v_lines	10.2693802906	45.2167075348
v_lines	9.57559960735	9.26947864432
v_lines	53.7954105899	12.0754630964
v_lines	70.2078753702	87.7982655683
v_lines	70.4434459809	36.593321687
v_lines	69.7851119109	5.50060099039
v_lines	89.6478378035	47.1650401688
v_lines	65.0276770756	44.7557476661
v_lines	53.7959231478	37.8271655955
v_lines	45.8899330348	44.7680575176
v_lines	49.5623964192	26.9973219809
v_lines	69.9483308064	64.1535079721
v_lines	69.5512117382	37.1278826199
v_lines	30.4398739375	35.6541667471
v_lines	30.390990001	22.6656400822
v_lines	65.069247075	0.506549946181
v_lines	53.7951243718	30.5365361414
v_lines	50.4228461441	56.0706425831
v_lines	65.0728464367	57.8145893461
v_lines	49.5589292647	67.8897257518
v_lines	45.8958725821	29.3779851953
v_lines	70.0330425051	48.4052566927
v_lines	50.1683226697	4.62792712874
v_lines	50.1517878115	62.7949855204
v_lines	69.685617757	18.9689981912
v_lines	30.341829941	23.7050234122
v_lines	53.7977920186	26.0881132388
v_lines	65.0565072052	34.3039813033
v_lines	65.0842765641	8.08451925421
v_lines	29.9478111021	2.67812974284
v_lines	53.8038997709	21.3945741117
v_lines	30.1379175802	77.3761525014
v_lines	50.4521174246	52.8495052505
v_lines	29.5812657447	21.5055659656
v_lines	50.3242391032	37.7613024524
v_lines	70.360312783	91.3280762828
v_lines	45.8929753813	17.4639181963
v_lines	70.4407652366	63.8829570923
v_lines	70.2088857434	92.3974091302
v_lines	45.8917934964	60.5794392812
v_lines	53.7959113639	23.6056262372
v_lines	65.0785738416	52.676929319
v_lines	53.7967892115	49.2653546362
v_lines	50.2043383411	1.28438534319
v_lines	70.272601515	68.8611694026
v_lines	69.6165866094	92.3741989334
v_lines	29.8425400864	48.9726641076
v_lines	70.0111269836	87.3766895638
v_lines	50.4782730579	75.0657940801
v_lines	53.8001952482	48.9403780375
v_lines	53.7958351443	38.0945627704
v_lines	45.8715189588	27.2945603983
v_lines	45.8764257814	16.1261428038
v_lines	53.7972000876	42.4995842966
v_lines	30.2658578978	46.341371936
v_lines	49.9474416051	43.5631307464
v_lines	29.8760682448	16.5619427534
v_lines	45.8817743161	40.7881766465
v_lines	89.5495558497	56.0144573776
v_lines	50.0637023432	12.3801611391
v_lines	29.6620297191	58.3446882792
v_lines	53.6648761442	42.6467474363
v_lines	65.0765876858	56.9061849803
v_lines	69.6891396086	78.5439767841
v_lines	69.7870049439	70.8688275869
v_lines	69.9022315874	88.1425672893
v_lines	30.1148534283	78.476690483
v_lines	49.9495923013	17.2664065328
v_lines	53.7964030183	27.4478559975
v_lines	65.0499113364	47.5098504005
v_lines	50.3841320497	17.5486381061
v_lines	30.2657216293	32.8539672446
v_lines	70.0631848089	83.5543467585
v_lines	70.3169425039	55.1429789996
v_lines	50.2235201212	82.8030371894
v_lines	53.796224091	56.2138414128
v_lines	50.1743059267	33.0424965732
v_lines	53.7963458261	46.4957105851
v_lines	53.7986241578	95.4803764503
v_lines	89.5642816858	75.0457681174
v_lines	50.2603364198	39.7499178485
v_lines	50.3763692197	90.7225043993
v_lines	30.0879983472	13.7158784612
v_lines	49.649184951	32.3587253723
v_lines	29.8265136194	12.9923773123
v_lines	49.9030563251	63.2036781787
v_lines	9.72517787827	26.8552221277
v_lines	53.8035850899	65.4575252187
v_lines	50.2509032486	29.5040105221
v_lines	30.2296362492	54.7675207046
v_lines	65.0379034363	31.8401211637
v_lines	45.8768166226	59.6615838489
v_lines	49.6401674154	73.4953723162
v_lines	45.888843677	50.8730601929
v_lines	50.2378617054	60.3293602032
v_lines	69.7096316011	72.518202464
v_lines	50.2651864074	18.5159479927
v_lines	70.3244788177	85.9032081733
v_lines	70.1038996568	53.1688346778
v_lines	30.3960242214	22.9494842907
v_lines	70.4559718746	43.2192212113
v_lines	49.6629866297	38.2221429667
v_lines	90.23242515	55.5887513479
v_lines	53.7971477676	49.3823005192
v_lines	65.0708303248	45.2402541865
v_lines	50.3972395584	60.742448209
v_lines	70.2375748049	82.7035192223
v_lines	49.8560829864	71.3115412902
v_lines	70.0447307842	37.8335191955
v_lines	50.1127416787	93.4106066169
v_lines	69.95981979	69.0272391875
v_lines	49.7073744387	16.5920333621
v_lines	65.0707135021	29.8925069002
v_lines	50.4270605737	50.4074081917
v_lines	30.0699654924	32.8933478622
x_shape	74.8392876308	68.4806620382
x_shape	75.899568447	30.8428076941
x_shape	43.2359612661	29.296989927
x_shape	49.1309767834	36.298617779
x_shape	59.6945716877	50.7424424503
x_shape	75.3253655161	69.8744109701
x_shape	36.4593114168	20.558922009
x_shape	77.7405576485	27.7735067169
x_shape	23.8713465317	5.39168298716
x_shape	63.0524811106	45.5063864421
x_shape	44.9318417283	29.6409755887
x_shape	47.6593614689	65.6584871497
x_shape	82.9641104516	78.2731788082
x_shape	53.7914823319	67.8529921484
x_shape	46.2410960656	66.737735263
x_shape	71.1194513185	63.8298118389
x_shape	86.5433922991	83.6864856293
x_shape	53.7570333243	32.5764913406
x_shape	47.9046934498	65.0315258838
x_shape	61.9708123624	47.916211245
x_shape	45.5997623133	67.8839702066
x_shape	42.2593695851	28.2336383268
x_shape	51.9236434085	60.3391065702
x_shape	50.2010554227	62.1669990299
x_shape	53.7983367137	67.8240969658
x_shape	63.3694848074	53.9713421396
x_shape	76.0675155233	70.1129959852
x_shape	55.2805211224	43.9453132876
x_shape	50.5869975499	37.7746273338
x_shape	33.4378588654	17.3834094662
x_shape	63.9645056657	44.899651381
x_shape	86.5984615369	82.7996308271
x_shape	78.6572401804	27.0398949812
x_shape	40.425221716	73.8585104831
x_shape	48.0116854619	65.5768830167
x_shape	23.2584278559	95.820856635
x_shape	32.0269779589	85.6294243238
x_shape	76.8516997899	70.6938995488
x_shape	74.5603433951	68.3692490795
x_shape	74.0247931661	68.2421826805
x_shape	56.3199817751	45.4527666147
x_shape	49.3678856068	36.7050224368
x_shape	53.7820827225	67.8822605249
x_shape	43.6615466985	29.4790811767
x_shape	48.6727927217	35.6517043636
x_shape	53.8015315583	67.8335876744
x_shape	72.6080227596	33.5250979907
x_shape	50.9178502923	38.5140469509
x_shape	66.9431935822	58.775447745
x_shape	50.2180838802	37.4979328565
x_shape	53.7652911891	67.8884232301
x_shape	45.6170359375	32.1091408317
x_shape	46.6466747657	66.0649381627
x_shape	64.0562278163	29.6119314519
x_shape	28.8721414093	11.2752880318
x_shape	42.5849164702	71.7518037102
x_shape	26.6009894049	91.9862942137
x_shape	56.4573019236	54.5756215901
x_shape	73.8205480841	32.1754015566
x_shape	75.6407082141	30.3314957828
x_shape	48.3275187669	35.9494707206
x_shape	64.0633483901	29.5835956517
x_shape	79.9070677044	25.4308241282
x_shape	67.3785270679	41.0523729057
x_shape	38.8249834505	76.2579418061
x_shape	38.6196945343	23.2867190999
x_shape	43.1683848931	28.7904392552
x_shape	44.3921276842	29.9665978361
x_shape	30.7498198397	13.4764534816
x_shape	53.8187191427	29.6260861304
x_shape	86.2112359102	83.019523883
x_shape	72.1955316843	34.9334212081
x_shape	85.1535726834	18.2899537431
x_shape	61.7680639147	47.6616746621
x_shape	63.5129201987	45.298761704
x_shape	55.237997463	43.3826385002
x_shape	46.5711535436	33.0864902713
x_shape	44.9224952179	29.6278143912
x_shape	72.4049669829	64.8957030418
x_shape	69.7179190697	37.5626107976
x_shape	48.2884283315	35.8242139259
x_shape	40.3713532584	25.2290383197
x_shape	64.0708791423	29.5739871943
x_shape	53.9765261028	42.0091547516
x_shape	48.6369013192	63.5743764384
x_shape	62.1389994964	47.2842778238
x_shape	36.1500606498	80.5379372449
x_shape	33.4303891642	16.5380712594
x_shape	55.6916955081	55.3542462668
x_shape	42.8158048864	27.9704654695
x_shape	48.466439698	64.0380288468
x_shape	86.8349082184	16.5562694419
x_shape	33.2138095849	15.9280506618
x_shape	53.8048965144	29.5918892358
x_shape	62.9966894204	46.1645686965
x_shape	76.2922948237	29.3883146128
x_shape	28.017461687	9.68157091587
x_shape	53.7790380099	29.6045571132
x_shape	36.4699028759	78.9959025883
x_shape	53.6428060916	57.5926696764
x_shape	33.8026060046	17.8630598406
x_shape	53.3333191122	42.1822091111
x_shape	81.5489903755	77.084429827
x_shape	36.1538525379	20.180766477
x_shape	62.4423431754	52.9361407264
x_shape	81.7018065064	77.6699173894
x_shape	48.6738122838	64.3782538798
x_shape	53.8020864697	29.6088588481
x_shape	56.4285684217	54.8587373224
x_shape	61.5079288252	47.9678277894
x_shape	39.5434706968	24.7671984137
x_shape	75.2898445527	69.5299282175
x_shape	75.4209293616	69.1322103737
x_shape	53.7032641121	46.264710346
x_shape	75.2696971015	69.2605916432
x_shape	46.0669019033	67.9538851314
x_shape	60.7544857488	48.4511629631
x_shape	55.2607379302	43.5235273291
x_shape	42.8860393124	28.9588790746
x_shape	36.1613315845	19.5234585057
x_shape	54.0095354092	41.8922169199
x_shape	53.6835015751	46.2752967106
x_shape	46.0461741585	32.5793367543
x_shape	41.1560115292	26.3410325683
x_shape	45.6942487792	32.0296908717
x_shape	69.2338625132	61.3012975108
x_shape	42.2225183264	28.2938712042
x_shape	50.017321956	62.4020902967
x_shape	52.3720073058	40.660548475
x_shape	62.3430366452	47.4137616548
x_shape	74.8454194152	68.5742646155
x_shape	74.485194084	68.0456457941
x_shape	76.0645875635	70.6268317922
x_shape	32.7894918831	83.7397559531
x_shape	43.0102982575	29.1012186202
x_shape	53.794583847	29.6235549002
x_shape	60.8646748195	48.777111446
x_shape	39.9952117919	24.2505814389
x_shape	44.8906398206	31.5908284166
x_shape	74.1947890868	68.3911334511
x_shape	58.0486994545	51.9229068153
x_shape	38.8602674191	75.6905736285
x_shape	57.7596841778	53.5959816374
x_shape	45.5014660297	31.0806351075
x_shape	53.8488198705	57.5455535876
x_shape	53.8300960697	67.8292685152
x_shape	79.6145245757	75.2613304561
x_shape	50.7623993583	38.0661067146
x_shape	35.647088653	80.9248787398
x_shape	30.8884102424	14.0042756834
x_shape	52.2281146102	39.991859732
x_shape	22.3813663332	3.22651939287
x_shape	47.0757628935	65.7869038344
x_shape	32.8717470471	16.7735059109
x_shape	56.6043264562	54.4983113844
x_shape	41.825251824	26.5432869775
x_shape	49.0878274586	63.4501065886
x_shape	63.128187246	45.5521893371
x_shape	46.9711868777	65.9338848394
x_shape	45.6231201744	68.1505834016
x_shape	53.6712403497	46.2612294671
x_shape	52.8198219505	59.3552821871
x_shape	78.5831480952	73.3714562997
x_shape	40.5519009909	26.2389833387
x_shape	75.4400219158	69.2541583457
x_shape	64.1258676538	55.4455867403
x_shape	37.8735100164	21.8029902896
x_shape	68.7145365419	39.5906995504
x_shape	49.249235828	37.0345032098
x_shape	60.8970395068	48.4835859329
x_shape	54.6132872582	57.1754521423
x_shape	62.8670019301	45.7481026037
x_shape	50.6101670803	61.702953849
x_shape	80.0186114349	75.6868889974
x_shape	43.3606233266	71.2399306597
x_shape	65.4491192526	43.1454515935
x_shape	35.7137153415	80.792505227
x_shape	75.5593019067	69.3576092548
x_shape	43.3035222351	28.816368241
x_shape	74.4790257646	32.1600993436
x_shape	50.4517085335	62.512291164
x_shape	45.9189505525	31.8515022623
star	60.0195305423	86.2054459107
star	70.8022976367	40.503232352
star	43.7368006505	46.4740063039
star	51.9911326099	28.1675623141
star	43.4908124688	47.0525733977
star	57.4057377061	88.1558183448
star	39.414205987	17.6684887372
star	73.5450279198	28.7854164454
star	39.7647633474	19.1739539703
star	56.7708158304	32.6338640972
star	43.1063281934	29.3595806892
star	44.2777915313	63.2333488905
star	76.1394740682	67.7273505366
star	52.6061025535	72.8769127708
star	43.2948980496	47.5551899448
star	87.5371867743	63.4089256262
star	64.6174780324	69.7428418277
star	58.1403168895	34.3211441886
star	46.1336157422	63.2881775525
star	75.1876391387	48.8883500388
star	55.6560315167	83.1069057827
star	39.151369476	15.1480853453
star	44.7376775489	62.9064722207
star	49.3014315699	63.0622869195
star	53.9746160904	75.1002612856
star	50.3403249887	63.8620085911
star	62.8112396918	76.4208864599
star	59.5696820804	33.1179582756
star	46.514555975	43.2406929873
star	41.2120650264	16.5767446096
star	54.6969719875	30.9182130999
star	62.5868001063	75.6975303722
star	70.4783390235	21.7676728172
star	54.7987709082	78.6595982409
star	49.4560946282	62.8646800519
star	54.5591412797	78.2185601764
star	54.0951608899	75.0806209232
star	59.6084529586	88.9175480126
star	64.0537442099	71.5716626541
